ticker,Yearly_Return,Volatility
TRENT,223.09,2.31
BEL,101.76,2.33
M&M,95.98,1.92
BAJAJ-AUTO,89.01,1.76
BHARTIARTL,69.6,1.36
POWERGRID,68.85,1.87
BPCL,67.48,2.21
HEROMOTOCO,58.98,1.66
SUNPHARMA,57.28,1.17
HCLTECH,53.26,1.43
NTPC,51.51,1.95
EICHERMOT,48.78,1.61
SHRIRAMFIN,48.29,2.17
TECHM,43.68,1.6
COALINDIA,41.85,2.14
WIPRO,40.99,1.75
ULTRACEMCO,36.97,1.43
ADANIPORTS,36.73,2.6
ICICIBANK,35.92,1.28
HINDALCO,35.87,1.96
GRASIM,35.78,1.45
APOLLOHOSP,35.48,1.41
SBIN,35.34,1.79
ONGC,33.04,2.22
INFY,32.65,1.45
TATAMOTORS,27.49,1.79
JSWSTEEL,26.89,1.64
CIPLA,25.68,1.63
TCS,20.8,1.32
LT,17.25,1.7
HDFCBANK,15.75,1.35
SBILIFE,14.91,1.51
TATASTEEL,11.55,1.82
DRREDDY,11.18,1.25
TATACONSUM,9.75,1.48
AXISBANK,9.74,1.56
RELIANCE,9.17,1.36
HDFCLIFE,8.63,1.46
ITC,7.94,1.19
BRITANNIA,7.85,1.3
MARUTI,6.93,1.37
TITAN,3.52,1.41
BAJAJFINSV,2.55,1.41
KOTAKBANK,1.99,1.42
NESTLEIND,0.71,1.25
HINDUNILVR,-0.96,1.21
ADANIENT,-6.67,2.86
BAJFINANCE,-16.11,1.59
ASIANPAINT,-21.94,1.27
INDUSINDBK,-30.46,1.91
