sector,Companies,Average_Close,Average_Volume
Cement,2,6310.31,576606.57
Healthcare,1,6191.42,432472.97
Automobile,6,5395.56,2936177.92
Retail,1,4670.86,882024.56
Financial Services,3,3771.24,1389596.14
Consumer Durables,1,3490.9,1142673.94
Construction,1,3483.05,2418356.5
Paints,1,3019.38,1214614.35
Diversified,1,2953.06,2356295.11
FMCG,5,2361.46,3801391.48
Information Technology,5,1798.1,4404313.15
Pharmaceuticals,3,1396.79,2026204.96
Banking,6,1295.38,11884644.18
Telecommunication,1,1293.23,6171184.15
Infrastructure,1,1260.53,4814566.8
Insurance,2,1085.62,2864533.29
Energy,4,592.33,14837922.61
Metals,3,544.25,17721745.46
Power,2,316.69,17084515.97
Capital Goods,1,233.57,28472446.58
