,ticker,volatility
0,ADANIENT,0.0286
1,ADANIPORTS,0.026
8,BEL,0.0233
47,TRENT,0.0231
34,ONGC,0.0222
10,BPCL,0.0221
39,SHRIRAMFIN,0.0217
13,COALINDIA,0.0214
21,HINDALCO,0.0196
33,NTPC,0.0195
30,M&M,0.0192
24,INDUSINDBK,0.0191
35,POWERGRID,0.0187
43,TATASTEEL,0.0182
42,TATAMOTORS,0.0179
38,SBIN,0.0179
5,BAJAJ-AUTO,0.0176
49,WIPRO,0.0175
29,LT,0.017
20,HEROMOTOCO,0.0166
27,JSWSTEEL,0.0164
12,CIPLA,0.0163
15,EICHERMOT,0.0161
45,TECHM,0.016
7,BAJFINANCE,0.0159
4,AXISBANK,0.0156
37,SBILIFE,0.0151
41,TATACONSUM,0.0148
19,HDFCLIFE,0.0146
25,INFY,0.0145
16,GRASIM,0.0145
48,ULTRACEMCO,0.0143
17,HCLTECH,0.0143
28,KOTAKBANK,0.0142
46,TITAN,0.0141
2,APOLLOHOSP,0.0141
6,BAJAJFINSV,0.0141
31,MARUTI,0.0137
9,BHARTIARTL,0.0136
36,RELIANCE,0.0136
18,HDFCBANK,0.0135
44,TCS,0.0132
11,BRITANNIA,0.013
23,ICICIBANK,0.0128
3,ASIANPAINT,0.0127
32,NESTLEIND,0.0125
14,DRREDDY,0.0125
22,HINDUNILVR,0.0121
26,ITC,0.0119
40,SUNPHARMA,0.0117
